Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Average of next day price,close-open,open price of next day
ITC,EQ,22-Apr-22,260.4,260,263,258.55,261.1,261.1,260.66,15671273,4084852407,108602,7105965,45.34,255.29,-3.55,258.8
ITC,EQ,25-Apr-22,261.1,258.8,259,252.5,255.5,255.25,255.29,24208645,6180301910,173578,13167724,54.39,258.6,2.35,256.6
ITC,EQ,26-Apr-22,255.25,256.6,260.7,256.25,258.85,258.95,258.6,20536714,5310890958,110569,10774226,52.46,257.23,1.3,256.2
ITC,EQ,27-Apr-22,258.95,256.2,258.5,255.75,257.2,257.5,257.23,16580824,4265039505,91550,10420875,62.85,260.79,1.6,259.5
ITC,EQ,28-Apr-22,257.5,259.5,263.7,258.15,261.95,261.1,260.79,27924384,7282457332,131008,18675695,66.88,260.72,-3.45,263
ITC,EQ,29-Apr-22,261.1,263,263,258.5,259.5,259.55,260.72,20419904,5323940772,110925,13489071,66.06,261.53,5.15,258
ITC,EQ,2-May-22,259.55,258,264.5,257.05,263.8,263.15,261.53,18965820,4960080326,158584,11565438,60.98,263.04,-4.25,264
ITC,EQ,4-May-22,263.15,264,266.05,258.6,260.3,259.75,263.04,25951999,6826483599,168036,16974299,65.41,263.04,0.05,262
ITC,EQ,5-May-22,259.75,262,265.2,260.4,262,262.05,263.04,17932895,4716986717,115437,11443309,63.81,264.96,7.65,259
ITC,EQ,6-May-22,262.05,259,267.35,258.9,265.65,266.65,264.96,34490123,9138351915,251642,19075746,55.31,263.34,-3.2,266.15
ITC,EQ,9-May-22,266.65,266.15,266.15,260.55,263.15,262.95,263.34,21403710,5636380538,203003,13686206,63.94,263.62,-2.25,262
ITC,EQ,10-May-22,262.95,262,266.8,259.1,259.5,259.75,263.62,18033260,4753854528,188902,10492376,58.18,255.9,-3.35,259
ITC,EQ,11-May-22,259.75,259,262.2,251.75,255.6,255.65,255.9,17344099,4438387756,178923,8319833,47.97,251.92,-2.1,255
ITC,EQ,12-May-22,255.65,255,256.4,249.15,253.45,252.9,251.92,20044726,5049629669,263981,10795115,53.86,258.72,3.65,254.95
ITC,EQ,13-May-22,252.9,254.95,260.85,254.5,258,258.6,258.72,11921627,3084376920,129880,5186121,43.5,255.88,-5.85,259.95
ITC,EQ,16-May-22,258.6,259.95,259.95,253,254.35,254.1,255.88,8186859,2094840151,102967,3119403,38.1,262.07,9.7,255
ITC,EQ,17-May-22,254.1,255,265.5,254.8,265,264.7,262.07,17797974,4664231330,164262,8774622,49.3,265.52,0.8,266
ITC,EQ,18-May-22,264.7,266,267.8,263.15,266.5,266.8,265.52,20200332,5363514789,150501,9390440,46.49,274.44,13.05,262.6
ITC,EQ,19-May-22,266.8,262.6,279.25,262.6,275.75,275.65,274.44,78287713,21485009549,455087,29590197,37.8,280.22,3,277
ITC,EQ,20-May-22,275.65,277,282.35,277,280.05,280,280.22,32370771,9071060237,217504,12223329,37.76,275.05,-5.5,280
ITC,EQ,23-May-22,280,280,280.45,273.05,273.6,274.5,275.05,21700165,5968639519,158072,11015168,50.76,272.23,-4.15,275
ITC,EQ,24-May-22,274.5,275,275,270,271,270.85,272.23,15547968,4232697120,110237,9518649,61.22,272.08,-0.25,272.95
ITC,EQ,25-May-22,270.85,272.95,273.9,270.5,272.55,272.7,272.08,15288648,4159726894,105968,8654765,56.61,265.96,-1.55,268.25
ITC,EQ,26-May-22,272.7,268.25,268.25,263.85,266.9,266.7,265.96,18420159,4898982829,137230,8540395,46.36,268.11,0.2,269
ITC,EQ,27-May-22,266.7,269,270.7,265.05,269.25,269.2,268.11,13468067,3610874147,92366,6485952,48.16,268.88,-1.45,270.5
ITC,EQ,30-May-22,269.2,270.5,271,267.6,269,269.05,268.88,11819102,3177896815,106135,6178050,52.27,270.75,1.6,269.05
ITC,EQ,31-May-22,269.05,269.05,274.5,266.4,271.2,270.65,270.75,23208345,6283589854,98915,12973848,55.9,272.2,1.2,270.65
ITC,EQ,1-Jun-22,270.65,270.65,274.1,270.2,271.5,271.85,272.2,14699792,4001349285,100701,7919917,53.88,271.97,2.8,270.7
ITC,EQ,2-Jun-22,271.85,270.7,274.45,267.85,273,273.5,271.97,14240994,3873176816,114544,7195640,50.53,273.54,-2.3,275
